Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Cincuenta,A1-A2,2,8,5,5,4,1,10
Cine,A1-A2,3,12,5,5,0,6,5
Cine en blanco y negro,B1,0,0,0,0,0,0,0
Cine en color,B1,0,0,0,0,0,0,0
Cintura,B1,1,1,2,6,3,4,1
Cinturón,A1-A2,0,0,2,2,0,0,4
Cinturón de seguridad,B1,0,0,1,0,0,0,0
Circo,A1-A2,0,0,0,1,5,0,1
Circuito laboral,B2,0,0,0,0,0,0,0
Circular,B1,0,1,2,3,1,0,13
Cirujano,B1,0,0,1,2,0,0,0
Cisterna,B2,0,0,0,0,0,0,2
Cita,A1-A2,4,11,1,0,2,0,17
Clarinete,B1,0,0,0,0,0,0,0
Clarinetista,B1,0,0,0,0,0,0,0
Claroscuro,B2,0,0,1,0,0,0,0
Clase,A1-A2,8,17,12,30,3,21,21
Clasificado,B2,0,0,0,0,0,0,2
Clasificarse,B2,0,0,0,0,0,0,2
Cliente,B2,3,36,6,0,0,1,18
Cobarde,B2,2,0,0,0,1,0,0
Cobertizo,B1,0,0,0,0,0,0,1
Cobertura,B1,0,0,0,0,0,0,4
Cobrar,B1,7,3,0,4,1,0,13
Cocer,B1,0,0,0,0,0,0,2
Coche,A1-A2,17,63,29,12,7,8,15
Cocido,B1,1,3,0,1,1,0,0
Cocina,A1-A2,1,31,11,18,17,21,5
Cocinar,A1-A2,0,2,1,0,6,0,2
Cocinero,A1-A2,1,1,1,0,5,0,0
Cocodrilo,B1,0,0,0,0,4,1,0
Coger el teléfono,B1,0,3,0,0,0,1,0
Cojín,A1-A2,0,0,0,0,0,0,0
Colaborar,B1,1,2,0,0,0,0,5
Colar,B1,0,0,1,0,1,1,5
Colchoneta,B1,0,0,0,0,0,0,0
Colchón,A1-A2,0,2,3,1,1,0,0
Coleccionar,B1,0,0,0,0,2,0,1
Colección,B1,0,2,0,0,3,5,4
Colegio,A1-A2,3,4,2,3,5,10,9
Colegio laico,B2,0,0,0,0,0,0,0
Colegio privado,B1,0,0,0,0,0,0,0
Colegio público,B1,0,0,0,0,0,0,0
Colegio religioso,B2,0,0,0,0,0,0,0
Colesterol,B1,0,0,0,0,0,1,0
Colesterol alto,B2,0,0,0,0,0,0,0
Colgar,B1,6,0,6,3,1,3,1
Colgar el teléfono,A1-A2,1,0,2,0,0,0,0
Colgar una foto,B1,0,0,0,0,0,0,0
Collar,B1,0,1,2,0,1,4,1
Colmena,B1,0,0,0,0,0,0,0
Colombia,A1-A2,0,3,1,0,0,0,37
Colombiano,A1-A2,0,4,1,0,0,0,23
Colonia,A1-A2,1,5,2,1,0,0,1
Color,B1,5,18,25,21,32,22,25
Colorido,B2,0,0,0,1,1,0,0
Columna,B2,0,2,3,1,1,0,8
Columpiarse,B2,0,0,0,0,0,0,0
Columpio,B2,0,0,0,0,6,1,0
Comba,B2,0,0,0,0,1,0,0
Combinar,B1,0,1,1,0,0,0,0
Combinar con,B1,0,0,0,0,0,0,0
Combustible,B2,0,0,1,0,0,1,5
Comedia,B2,0,0,1,1,0,0,0
Comedor,A1-A2,1,8,7,5,3,3,1
Comentar,B2,6,7,9,5,2,22,31
Comer,A1-A2,38,42,45,10,42,9,17
Comer a la carta,B2,0,0,0,0,0,0,0
Comer de menú,B2,0,0,0,0,0,0,0
Comercial,B1,0,3,1,0,0,1,24
Comerciante,B2,0,0,0,0,0,0,3
Cometer un delito,B2,0,0,0,0,0,0,0
Cometer un error,A1-A2,0,0,0,0,0,1,1
Comisaria,B1,0,0,0,0,0,0,2
Comisario,B2,2,0,2,0,0,0,5
Comisión,B1,0,0,0,0,0,2,64
Compartir piso,A1-A2,0,0,0,0,0,0,0
Compañero,A1-A2,11,8,16,7,12,6,27
Compañía telefónica,B2,0,0,0,0,0,0,0
Competición,B2,0,0,0,0,0,0,21
Competidor,B2,0,0,0,0,0,0,3
Complejo de superioridad,B2,0,0,0,0,0,0,0
Complementos,B1,0,0,0,0,0,0,1
Comportarse bien,B2,0,0,0,0,0,0,0
Comportarse mal,B2,0,0,0,0,0,0,0
Composición,B1,2,0,0,0,0,0,6
Compositor,B1,0,1,0,0,0,0,0
Compra,B1,4,7,7,0,0,1,30
Compra compulsiva,B2,0,0,0,0,0,0,0
Comprar,B1,7,25,16,8,13,14,17
Comprar a plazos,B1,0,0,0,0,0,0,0
Comprar por Internet,B1,0,0,0,0,0,0,0
Comprar por catálogo,B2,0,0,0,0,0,0,0
Comprender,A1-A2,6,2,9,14,12,6,12
Comprometerse,B1,0,0,0,0,0,0,0
Compromiso,B1,0,0,1,3,1,0,29
Compuestos químicos,B2,0,0,0,0,0,0,0
Computadora,A1-A2,1,0,2,0,0,0,0
Comunicación audiovisual,B2,0,0,0,0,0,0,0
Comunicación de última hora,B2,0,0,0,0,0,0,0
Comunicación oficial,B2,0,0,0,0,0,0,0
Comunicación telefónica,B2,0,0,0,0,0,0,0
Comunicar,A1-A2,0,2,3,5,0,2,14
Comunicarse oralmente,B2,0,0,0,0,0,0,0
Comunicarse por escrito,B2,0,0,0,0,0,0,0
Comunidad,B1,0,2,1,1,1,0,38
Comunidad de vecinos,B1,0,0,0,0,0,0,0
Con mucho gusto,A1-A2,1,0,1,0,0,0,0
Con tarjeta,B1,0,0,0,0,0,0,1
Concierto,A1-A2,2,11,0,0,1,3,3
Conciliación,B2,0,0,0,0,0,0,0
Concurso,B1,0,2,9,0,1,6,6
Condenar,B2,1,0,0,2,1,2,22
Condimentar,B1,0,0,0,0,0,0,0
Conducción,B1,0,0,1,0,0,0,7
Conducir,B1,3,5,8,1,7,3,30
Conductor,A1-A2,0,3,2,0,2,0,47
Conectarse,B1,0,0,0,0,0,0,1
Conejo,B1,0,1,2,5,5,1,3
Conexión,B2,1,0,0,0,0,0,8
Confirmar,B2,3,0,2,3,1,0,22
Confortable,B1,0,0,1,0,2,0,0
Congelador,B1,0,0,0,0,0,0,2
Congelados,A1-A2,0,1,0,0,0,0,0
Conocer el dato,B2,0,0,0,0,0,0,0
Conservador,B1,1,2,2,3,0,0,14
Conservar,A1-A2,1,0,0,3,3,1,10
Conservas,B1,0,0,0,0,0,0,0
Consigna,A1-A2,0,0,0,0,0,0,0
Constitución,B1,0,0,0,1,0,1,11
Constructor,B2,0,6,1,0,0,0,2
Constructora,B2,0,0,0,0,0,0,0
Construir,B2,0,2,1,4,5,2,8
Consulta,B1,2,0,5,2,0,1,4
Consultar,B1,2,0,2,2,7,0,5
Consumidor,B2,0,1,0,2,0,0,12
Consumismo,B2,0,0,0,0,0,0,0
Contacto,B2,2,2,5,0,5,0,12
Contaminación,B2,0,0,4,0,0,0,1
Contaminante,B2,0,0,0,0,0,0,2
Contaminar,B2,0,0,0,0,1,0,3
Contemporáneo,B2,2,1,0,0,0,0,1
Contenedor,B1,0,3,0,0,0,10,2
Contenedores de reciclaje,B1,0,0,0,0,0,0,0
Contento,B1,18,13,6,5,9,7,7
Contento como unas castañuelas,B2,0,0,0,0,0,0,0
Contestador automático,B1,2,1,0,0,0,0,0
Continente,A1-A2,1,0,1,0,0,1,13
Contractura,B2,0,0,0,0,0,0,0
Contraindicaciones,B2,0,0,0,0,0,0,0
Contraindicado,B2,0,0,0,0,0,0,0
Contraseña,B1,0,0,0,0,0,0,0
Contratar,B1,0,0,0,0,0,0,3
Contratar un seguro,B1,0,0,0,0,0,0,0
Contratar un seguro de hogar,B1,0,0,0,0,0,0,0
Contratar un viaje,B1,0,0,0,0,0,0,0
Contrato fijo,B1,0,0,0,0,0,0,0
Contrato indefinido,B2,0,0,0,0,0,0,4
Contrato temporal,B1,0,0,0,0,0,0,1
Control de seguridad,A1-A2,0,0,0,0,0,0,0
Control policial,A1-A2,0,0,0,0,0,0,0
Controlar la respiración,B1,0,0,0,0,0,0,0
Conversación en línea,B1,0,0,0,0,0,0,0
Convivencia,B1,0,0,0,0,0,0,3
Convivir,B1,0,0,0,0,0,0,3
Cooperativa,B2,0,0,0,0,0,0,5
Copa,A1-A2,1,10,8,3,1,3,33
Copa de vino,A1-A2,0,0,0,0,0,0,0
Copia,B2,2,6,0,0,0,0,1
Copia oculta,B1,0,0,0,0,0,0,0
Corazón,B1,13,2,19,12,35,40,16
Corbata,B1,0,2,4,5,2,0,1
Cordero,B1,1,0,1,0,26,0,2
Cordial,B2,0,0,1,0,0,0,0
Cordillera,A1-A2,0,0,0,0,0,0,3
Corporal,B2,0,0,0,0,1,0,2
Corregir,B1,0,0,0,2,1,1,4
Correo certificado,B2,0,0,0,0,0,0,0
Correo electrónico,B2,0,0,1,0,0,0,1
Correo ordinario,B1,0,0,0,0,0,0,0
Correr,A1-A2,26,36,20,22,47,52,22
Correr las cortinas,A1-A2,0,0,0,0,0,0,0
Correr riesgos,B2,0,0,0,0,0,0,0
Correr ríos de tinta,B2,0,0,0,0,0,0,0
Corresponsal,B2,0,1,0,0,0,0,0
Corrupción,B1,0,0,0,0,0,0,6
Cortar,B1,1,4,5,5,7,3,5
Cortar en trozos,B2,0,0,0,0,0,0,0
Cortina,A1-A2,1,1,3,2,0,10,7
Cortina de baño,A1-A2,0,0,0,0,0,1,0
Cortometraje,B2,0,0,0,0,0,0,0
Costa,A1-A2,4,36,8,0,7,1,27
Costa Rica,A1-A2,0,0,0,0,0,0,14
Costarricense,A1-A2,0,0,0,0,0,0,3
Costilla,B2,0,0,0,0,0,0,1
Cotilla,B2,0,0,0,0,0,1,0
Cotizar,B2,0,0,0,0,0,0,6
Creador,B2,0,0,0,0,0,0,3
Crecer,B2,5,3,2,7,19,31,18
Crecimiento demográfico,B2,0,0,0,0,0,0,0
Crema,A1-A2,0,5,2,0,2,0,1
Crema hidratante,B2,0,0,0,0,0,0,0
Crema nutritiva,B2,0,0,0,0,0,0,0
Crisis,B1,0,2,0,0,1,0,32
Croqueta,B1,0,1,0,0,0,0,0
Crucero,B2,0,1,0,0,0,0,1
Cráter,B1,0,0,1,0,0,0,0
Crédito,B2,0,1,1,0,0,0,21
Crítica,B2,2,0,0,0,0,0,20
Crítico,B2,1,0,0,8,0,2,8
Crítico de arte,B2,0,0,0,2,0,0,0
Crónica deportiva,B2,0,0,0,0,0,0,0
Cuaderno,A1-A2,0,1,3,1,0,3,1
Cuadrado,B1,0,0,2,1,1,0,3
Cuadragésimo,A1-A2,0,0,0,0,0,0,0
Cuadro,A1-A2,0,74,6,12,3,10,18
Cuadros,B1,0,74,6,12,3,10,18
Cuarenta,A1-A2,4,8,3,5,6,0,14
Cuarto,A1-A2,2,16,40,34,15,26,37
Cuarto de baño,A1-A2,0,1,4,0,0,8,1
Cuarto poder,B2,0,0,0,0,0,0,0
Cuatro,A1-A2,21,23,21,30,16,11,75
Cuatrocientos,A1-A2,2,0,3,1,0,0,0
Cuba,A1-A2,0,0,11,0,0,0,18
Cubano,A1-A2,0,1,4,0,0,0,27
Cubiertos,A1-A2,7,1,9,5,8,20,8
Cubilete,B2,0,0,0,0,0,0,0
Cubismo,B2,0,0,0,0,0,0,0
Cubo,B1,0,1,3,0,3,1,2
Cubo de fregar,B1,0,0,0,0,0,0,0
Cuchara,A1-A2,0,0,0,0,1,1,0
Cuchilla,B1,0,0,1,0,0,1,0
Cuchilla de afeitar,B1,0,0,0,0,0,0,0
Cuchillo,A1-A2,0,1,3,2,8,2,0
Cuello,A1-A2,6,1,6,8,21,20,3
Cuenco,B2,0,0,0,0,0,3,0
Cuenta,A1-A2,41,14,32,33,48,26,37
Cuenta ahorro,B1,0,0,0,0,0,0,0
Cuenta corriente,B2,0,0,0,0,0,0,0
Cuenta vivienda,B1,0,0,0,0,0,0,0
Cuerda,B1,2,0,2,2,10,4,0
Cuerpo de policía,B2,0,0,0,0,0,0,0
Cuidarse,A1-A2,0,0,0,0,0,0,0
Culebrón,B1,0,0,0,0,0,0,0
Culpable,B2,9,3,1,3,0,1,5
Cultivar,B1,2,0,0,0,1,1,5
Cumpleaños,B1,0,3,1,2,2,12,0
Cuota,B1,0,0,0,0,0,0,3
Curar la herida,B2,1,0,0,0,0,0,0
Curioso,B2,4,4,3,5,10,4,9
Currículum,B1,0,1,1,0,0,0,1
Cursar,B1,0,0,0,0,0,0,3
Cursar estudios,B1,0,0,0,0,0,0,0
Curso,B1,1,4,1,6,0,2,8
Curso de perfeccionamiento,B2,0,0,0,0,0,0,0
Curso elemental,B2,0,0,0,0,0,0,0
Cursos de formación,B1,0,0,0,0,0,0,0
Cursos intensivos,B2,0,0,0,0,0,0,0
Curva,B2,1,0,2,1,0,1,0
Cutis,B2,0,0,0,0,1,0,0
Cuñado,B2,0,0,0,0,0,0,0
Cálculo,B2,0,0,0,3,3,0,10
Cámara,B2,1,6,10,0,0,2,30
Cárcel,B1,11,11,8,2,1,0,8
Célula,B2,0,0,0,0,0,0,10
Césped,B1,0,0,0,0,4,9,6
Círculo,B1,0,0,0,2,4,0,6
Cómic,B1,0,0,0,0,0,0,0
Cómo estás,A1-A2,2,5,2,0,1,4,1
Cómoda,A1-A2,1,2,1,6,3,5,6
Cómodo,B1,1,2,1,6,3,5,6
Cónyuge,B2,0,0,0,0,0,0,0
Cúbico,B1,0,0,0,0,0,0,1
DVD,B1,0,0,0,0,0,0,1
Dados,B2,1,0,0,1,0,0,2
Dar  miedo,B1,0,4,2,2,2,6,0
Dar asco,B2,0,0,0,0,0,2,0
Dar cariño,B2,0,0,0,0,0,0,0
Dar de alta el gas,B2,0,0,0,0,0,0,0
Dar de alta la luz,B2,0,0,0,0,0,0,0
Dar de baja el gas,B2,0,0,0,0,0,0,0
Dar de baja la luz,B2,0,0,0,0,0,0,0
Dar de baja la línea de teléfono,B2,0,0,0,0,0,0,0
Dar el alta,B1,0,0,0,0,0,0,0
Dar en la diana,B2,0,0,0,0,0,0,0
Dar igual,B2,2,2,2,1,1,3,4
Dar la mano,A1-A2,0,0,3,2,0,0,0
Dar lástima,B1,0,0,0,0,0,0,0
Dar línea,B2,0,0,0,0,0,0,0
Dar mal servicio,B2,0,0,0,0,0,0,0
Dar pena,B1,1,0,0,0,0,1,0
Dar puntos en una herida,B2,0,0,0,0,0,0,0
Dar pánico,B2,0,0,0,0,0,0,0
Dar un abrazo,A1-A2,0,0,0,0,0,0,0
Dar un banquete,B2,0,0,0,0,0,0,0
Dar un beso,A1-A2,3,0,2,0,1,1,0
Dar un paseo,B1,1,9,3,1,0,3,0
Dar una señal,B2,0,0,0,0,0,0,0
Darse rímel,B1,0,0,0,0,0,0,0
Darse un buen tute,B2,0,0,0,0,0,0,0
Darse una ducha,B2,1,0,0,0,0,0,0
Datos personales,B2,0,0,0,0,0,0,0
De boca en boca,B2,0,0,0,0,0,0,0
De cuadros,B1,0,4,0,0,1,3,1
De día,A1-A2,3,4,5,1,1,1,6
De fama internacional,B2,0,0,0,0,0,0,0
De nada,A1-A2,4,7,3,5,8,5,1
De noche,A1-A2,4,8,11,6,1,6,1
De rayas,B1,0,0,0,0,0,0,0
Debajo,A1-A2,6,9,8,12,12,14,10
Debajo de,A1-A2,6,8,6,12,11,13,9
Debate,B1,0,0,1,0,0,0,29
Deberes,A1-A2,48,21,57,67,45,30,176
Debilidad,B2,0,0,0,2,0,0,5
Debutar,B2,1,0,0,0,0,0,2
Decaído,B2,0,0,0,0,0,0,0
Decimoctavo,A1-A2,0,0,0,0,0,0,0
Decimocuarto,A1-A2,0,0,0,0,0,0,1
Decimonoveno,A1-A2,0,0,0,0,0,0,0
Decimoquinto,A1-A2,0,0,0,0,0,0,0
Decimosexto,A1-A2,0,0,0,0,0,0,1
Decimoséptimo,A1-A2,0,0,0,0,0,0,0
Decimotercero,A1-A2,0,0,0,0,0,0,0
Declaración oficial,B2,0,0,0,0,0,0,0
Declarar,B1,2,2,2,3,4,4,40
Declarar culpable,B1,0,0,0,0,0,0,0
Declarar inocente,B1,1,0,0,0,0,0,0
Decorado,B2,0,0,0,0,1,1,1
Dedicarse,A1-A2,1,1,0,1,2,0,2
Dedicarse a,A1-A2,1,1,0,1,0,0,2
Dedo,A1-A2,5,5,15,12,12,23,10
Defender una tesis,B2,0,0,0,0,0,0,0
Deforestación,B2,0,0,0,0,0,0,0
Degradar,B2,0,0,0,0,0,0,1
Dejar,B1,95,72,75,74,86,85,99
Dejar a,B1,5,6,6,3,7,3,12
Dejar propina,A1-A2,0,0,0,0,0,0,0
Dejar un mensaje,B1,0,1,0,0,0,0,0
Delantal,B1,0,0,0,3,0,0,0
Delfín,B1,0,4,0,0,0,0,1
Delgado,A1-A2,1,6,1,4,1,3,13
Delincuente,B2,0,1,1,0,0,0,2
Delito,B2,4,1,1,0,0,0,7
Demanda de empleo,B1,0,0,0,0,0,0,0
Densidad,B2,0,0,0,0,0,0,1
Densidad de población,B2,0,0,0,0,0,0,0
Dentista,B1,0,0,0,0,0,0,1
Dentro,A1-A2,8,36,31,23,22,23,45
Dentro de,A1-A2,3,19,19,19,12,14,36
Denuncia,B1,0,0,1,2,0,0,15
Denunciar,B2,1,0,1,0,0,0,18
Departamento comercial,B1,0,0,0,0,0,0,1
Departamento de administración,B1,0,0,0,0,0,0,0
Departamento de investigación y desarrollo,B1,0,0,0,0,0,0,0
Departamento de marketing,B1,0,0,0,0,0,0,1
Departamento de producción,B1,0,0,0,0,0,0,0
Departamento financiero,B1,0,0,0,0,0,0,0
Dependiente,A1-A2,0,0,0,0,0,0,2
Depilarse,B1,0,0,0,0,0,0,0
Depilarse las cejas,B1,0,0,0,0,0,0,0
Depilarse las piernas,B1,0,0,0,0,0,0,0
Deporte,A1-A2,0,1,4,0,1,2,29
Deportista,B2,0,1,0,0,0,0,13
Deportivas,A1-A2,0,0,0,0,0,0,0
Depositar en cuenta,B2,0,0,0,0,0,0,0
Depresión,B1,1,0,0,1,0,0,0
Deprimido,B2,0,1,0,2,0,0,3
Deprimirse,B1,0,0,0,0,0,0,0
Depuradora,B2,0,0,0,0,0,0,0
Derecho civil,B2,0,0,0,0,0,0,4
Derecho penal,B2,0,0,0,0,0,0,0
Derechos,B1,0,0,0,0,0,0,3
Dermatología,B1,0,0,0,0,0,0,1
Desahucio,B2,0,0,0,0,0,0,0
Desalojo,B2,0,0,0,0,0,0,0
Desarrollo sostenible,B1,0,0,0,0,0,0,3
Desastres naturales,B1,0,0,0,0,0,0,0
Desayunar,A1-A2,0,2,4,2,3,2,1
Desayuno,A1-A2,1,4,5,13,2,1,3
Descansar,B1,1,9,8,0,7,2,2
Descanso,B1,2,0,1,1,7,2,7
Descargar,B1,0,0,1,1,0,2,0
Descolgar el teléfono,A1-A2,0,0,0,0,0,0,0
Descoserse,B2,0,0,0,0,0,0,0
Descubrimiento,B2,2,1,2,1,2,0,8
Descuento,B1,0,0,0,0,0,0,2
Desempleado,A1-A2,0,0,0,0,0,0,11
Desempleo,A1-A2,0,0,0,0,0,0,26
Desenchufar,B1,0,0,0,0,0,0,0
Desengaño,B2,1,0,0,1,0,0,0
Desertización,B2,0,0,0,0,0,0,0
Deshielo,B2,0,0,0,0,1,0,0
Desierto,A1-A2,2,0,3,2,6,2,12
Desinfectante,B2,0,0,0,0,0,2,0
Desmayo,B2,2,0,0,0,0,0,0
Desodorante,A1-A2,0,0,0,0,0,2,0
Despacho,A1-A2,10,24,11,6,0,0,4
Despedir,B1,4,4,6,8,5,2,8
Despegar,A1-A2,1,0,0,2,0,0,0
Despegue,A1-A2,0,0,0,0,1,0,2
Desperdicios,B2,0,0,0,2,1,0,3
Despertador,A1-A2,2,0,3,1,0,0,1
Destinatario,B1,0,0,0,0,0,0,1
Destino,A1-A2,2,5,3,5,5,1,14
Detener,B2,15,10,13,32,16,16,28
Detergente,B1,0,0,0,0,0,0,3
Detestar,B2,0,0,0,2,0,0,1
Deudor,B2,0,0,0,0,0,0,0
Devolución,B2,0,0,0,0,0,0,0
Devolver,B1,2,2,5,7,2,1,9
Devolver una llamada,B1,0,0,0,0,0,0,0
Diabetes,B2,0,0,0,0,0,0,0
Diagnóstico,B2,0,0,0,0,0,0,2
Diagonal,B2,0,3,0,0,0,0,1
Dibujar,A1-A2,1,0,1,1,5,1,1
Diccionario,A1-A2,0,0,1,0,0,0,2
Diciembre,A1-A2,0,1,1,0,0,1,22
Diecinueve,A1-A2,0,0,0,2,0,1,1
Dieciocho,A1-A2,1,5,2,1,2,0,3
Diecisiete,A1-A2,1,1,0,0,2,1,2
Dieciséis,A1-A2,0,0,0,0,0,0,2
Diente,A1-A2,6,2,10,1,3,17,9
Dieta alta en calorías,B1,0,0,0,0,0,0,0
Dieta baja en calorías,B1,0,0,0,0,0,0,0
Dieta equilibrada,B1,0,0,0,0,0,0,0
Dieta mediterránea,B1,0,0,0,0,0,0,0
Diez,A1-A2,10,16,11,9,2,9,41
Dinero,A1-A2,20,28,30,14,8,13,22
Dinero en efectivo,B1,0,0,0,0,0,0,0
Dinero en metálico,B1,0,0,0,0,0,0,0
Dirección,B1,4,12,24,10,8,1,31
Dirección de Internet,A1-A2,0,0,0,0,0,0,0
Dirección de correo electrónico,A1-A2,0,0,0,0,0,0,0
Dirección prohibida,B2,0,0,0,0,0,0,0
Dirección única,B2,0,0,0,0,0,0,0
Director,B1,1,6,0,17,1,4,40
Director de orquesta,B1,0,0,0,0,0,0,0
Disco,B1,19,4,3,0,0,5,4
Discoteca,B1,2,5,5,0,0,0,1
Disculpe,A1-A2,0,0,2,2,0,0,1
Discusión,B1,2,1,4,5,2,4,4
Discutir,B1,3,2,0,1,2,4,10
Disfrutar,B2,1,1,0,0,5,3,9
Disfrutar de,B1,1,1,0,0,3,2,4
Disgustado,B2,0,0,1,0,0,1,0
Disparar,B2,0,1,0,3,0,3,4
Disponibilidad total,B1,0,0,0,0,0,0,0
Distancia,B1,2,3,3,5,4,10,21
Distribución,B2,0,0,0,0,0,0,8
Distribuir,B2,0,1,1,1,0,1,2
Diversión,B2,0,0,1,0,1,0,1
Divertido,B1,2,10,2,1,15,14,9
Divertirse,B1,0,0,0,0,0,0,0
Divorciado,B1,0,1,0,0,0,0,0
Divorciarse,B1,0,0,0,0,0,0,0
Divorcio,B1,0,0,1,0,0,0,0
Diálogo,B2,0,0,0,3,0,1,19
Diésel,B1,0,0,0,0,0,0,0
Doblaje,B2,0,0,0,0,0,0,0
Doblar la cintura,B1,0,0,0,0,0,0,0
Doce,A1-A2,8,16,8,4,7,7,18
Docena de huevos,A1-A2,0,0,0,0,0,0,0
Doctor,B2,5,5,1,11,0,11,16
Doctorado,B1,1,0,0,0,0,0,0
Documental,B1,0,0,0,0,0,0,1
Documento,B1,0,6,6,7,0,0,18
Doler,A1-A2,5,5,3,1,2,3,2
Dolor,B2,6,4,8,7,7,8,7
Domingo,A1-A2,5,6,7,8,1,4,42
Dominicano,A1-A2,0,0,0,0,0,0,11
Dominio público,B2,0,0,0,0,0,0,0
Dorada,B2,1,1,3,1,6,4,1
Dorado,B1,1,1,3,1,6,4,1
Dorar,B1,0,0,0,0,0,0,0
Dorar la cebolla,B2,0,0,0,0,0,0,0
Dormir,A1-A2,28,33,25,21,37,20,9
Dormitorio,A1-A2,1,8,4,3,4,7,1
Dos,A1-A2,84,133,136,99,77,102,304
Dos por el precio de uno,B2,0,0,0,0,0,0,0
Dos por uno,B2,0,0,0,1,0,0,0
Doscientos,A1-A2,0,0,0,0,0,0,0
Drama,B2,4,0,1,8,2,0,2
Dramaturgo,B2,0,0,0,0,0,0,0
Ducha,A1-A2,3,1,9,0,1,3,3
Ducharse,A1-A2,0,0,0,0,0,0,0
Dueño,B2,8,2,5,4,9,2,6
Dulce,B2,4,2,13,2,16,10,0
Dulces,B1,4,2,13,2,16,10,0
Duodécimo,A1-A2,0,0,0,0,0,0,4
Duplicado,B2,0,0,0,0,0,0,0
Durar,A1-A2,0,2,6,4,6,2,9
Dureza,B2,0,0,0,1,0,1,1
Décimo,A1-A2,0,0,1,0,0,1,2
Día de fiesta,A1-A2,0,4,0,0,1,0,0
Día del espectador,B2,0,0,0,0,0,0,0
Dúplex,A1-A2,0,0,0,0,0,0,0
Echar,B1,19,6,9,29,31,56,25
Echar a,B1,6,2,2,8,12,27,5
Echar un vistazo,B2,1,0,0,0,1,4,0
Ecografía,B2,0,0,0,0,0,0,0
Ecologista,B1,0,1,1,0,0,0,1
Ecología,B1,0,0,0,0,0,0,3
Economista,B1,0,0,0,0,0,0,4
Ecosistema,B2,0,0,1,0,0,0,4
Ecuador,A1-A2,0,0,0,0,0,0,30
Ecuatoriano,A1-A2,0,0,3,0,0,0,13
Edificio,B1,2,43,7,14,1,4,13
Edificio de apartamentos,B1,0,0,0,0,0,0,0
Editor,B2,6,0,0,1,0,0,2
Editorial,B2,2,0,0,1,0,0,8
Edredón,A1-A2,0,0,0,0,0,0,0
Educación,B1,0,2,1,3,0,0,12
Educación Infantil,B1,0,0,0,0,0,0,0
Educación Primaria,B1,0,0,0,0,0,0,0
Educación Secundaria,B1,0,0,0,0,0,0,0
Educación Secundaria Obligatoria,B1,0,0,0,0,0,0,0
Educado,B2,0,0,1,2,0,1,1
Educar,B1,0,1,0,2,2,1,2
Efecto invernadero,B2,0,0,0,0,0,0,0
Efectos especiales,B2,0,0,0,0,0,0,0
Efectos secundarios,B2,0,0,0,0,0,0,0
Egoísta,A1-A2,0,0,0,0,0,0,0
Ejecutivo,A1-A2,0,2,1,0,0,0,38
Ejercicio,A1-A2,3,1,0,0,4,1,18
Ejercicio físico,A1-A2,0,0,0,0,1,0,0
El Salvador,A1-A2,0,0,0,0,0,0,9
El gusto es mío,A1-A2,0,0,0,0,0,0,0
Elasticidad,B2,0,0,0,1,0,0,0
Electricidad,B2,0,0,0,1,0,1,8
Electricista,B2,0,0,0,0,0,0,2
Electrodoméstico,B1,0,0,1,0,0,0,1
Elefante,B1,0,0,1,0,7,0,0
Elegante,B1,2,7,4,4,8,0,2
Elemento,B2,1,0,0,3,0,0,16
Eliminar,B2,0,0,0,1,1,0,22
Eliminar virus,B2,0,0,0,0,0,0,0
Embarcar,A1-A2,1,0,1,0,0,0,0
Embutido,B1,0,0,0,0,0,0,0
Emisiones tóxicas,B2,0,0,0,0,0,0,0
Emisora,B1,0,1,0,0,0,0,4
Emitir,B2,0,1,0,1,0,2,18
Emocionarse,B2,0,0,0,0,0,0,0
Empanado,B2,0,0,0,0,0,0,0
Empatar,B1,0,0,0,0,0,0,5
Empate,B2,0,0,0,0,0,0,15
Empleo,A1-A2,0,0,0,1,2,0,48
Empleo fijo,B2,0,0,0,0,2,0,0
Empleo remunerado,B2,0,0,0,0,0,0,0
Empresa,B1,9,9,4,1,0,0,125
Empresa de mensajería,B2,0,0,0,0,0,0,0
En coma,B2,0,1,0,0,0,0,0
En efectivo,B1,0,0,0,0,0,0,1
En el centro,A1-A2,0,12,7,4,5,9,11
En el centro de,A1-A2,0,7,5,3,2,5,6
En urgencias,B2,0,0,0,0,0,0,0
Enamorado,B1,6,1,7,2,5,5,1
Enamoramiento,B1,0,0,0,0,0,1,0
Enamorarse,B1,0,0,0,0,0,0,0
Encantado de conocerle,A1-A2,0,0,0,0,0,0,0
Encender el horno,B1,0,0,0,0,0,0,0
Encender la luz,A1-A2,0,1,0,2,0,0,0
Enchufar,B1,0,0,0,0,0,0,0
Enchufe,B2,0,1,0,0,0,0,0
Encima,A1-A2,18,21,11,9,19,33,12
Encima de,A1-A2,11,18,6,6,15,27,9
Encoger,B2,0,0,0,0,2,4,0
Encontrar pruebas,B2,0,0,0,0,0,0,0
Encontrarse bien,B1,0,0,0,0,0,0,0
Encontrarse mal,B2,0,0,0,0,0,0,0
Encontrarse regular,B1,0,0,0,0,0,0,0
Energía,B1,0,0,0,4,4,1,21
Energía eólica,B2,0,0,0,0,0,0,0
Energía solar,B2,0,0,0,0,1,0,2
Energías alternativas,B2,0,0,0,0,0,0,0
Energías renovables,B2,0,0,0,0,0,0,0
