Lexical item,Level,Avanzado,Inicial,Intermedio,Adulta,Infantil,Juvenil,Native
Alimentos ricos en calorías,B2,0,0,0,0,0,0,0
Aliviado,B2,0,0,0,2,4,2,0
Aliñado,B1,0,0,0,0,0,0,0
Almacenar,B2,0,0,0,0,0,0,1
Almendra,B2,0,3,0,0,0,0,0
Almohada,A1-A2,2,2,0,6,2,6,2
Alojamiento,A1-A2,0,0,0,1,0,0,0
Alojamiento y desayuno,A1-A2,0,0,0,0,0,0,0
Alojarse,B1,0,0,0,0,0,0,0
Alquilar,B1,1,1,0,1,1,0,1
Alquilar una película,B1,0,0,0,0,0,0,0
Alquiler,B1,0,2,1,3,0,0,1
Alto,B1,21,48,38,33,35,41,68
Alubia,B1,0,0,0,0,0,0,0
Alumno,A1-A2,0,0,0,8,0,1,3
Alérgico,A1-A2,0,0,0,0,0,0,1
Amable,B2,3,5,4,7,7,6,3
Amargo,B2,1,0,2,1,0,0,4
Amarillo,A1-A2,3,5,13,9,28,23,15
Ambicioso,B2,1,0,0,0,0,0,0
Ambulancia,A1-A2,0,5,0,0,0,0,1
Amistad,B1,2,1,1,4,2,14,9
Amueblado,A1-A2,0,0,0,0,0,0,0
Ancho,B2,0,1,8,2,6,6,2
Andén,B2,0,0,0,0,0,2,0
Angustia,B2,1,0,4,3,4,0,2
Angustiarse,B2,0,0,0,0,0,0,0
Anillo,A1-A2,0,1,0,2,7,1,10
Anillo de oro,B1,0,0,0,0,0,1,0
Anillo de plata,B1,0,0,0,0,0,0,0
Animado,B2,0,1,0,0,0,0,3
Animal acuático,B1,0,0,0,0,0,0,0
Animal de compañía,B1,0,0,0,0,0,0,0
Aniversario,B1,0,0,2,0,0,0,1
Aniversario de boda,B1,0,0,1,0,0,0,0
Ansiedad,B2,0,0,0,3,0,0,1
Antibiótico,B1,0,0,0,0,0,0,0
Anticuado,B1,0,0,0,0,0,0,0
Antiinflamatorio,B2,0,0,0,0,0,0,0
Antipático,A1-A2,0,0,1,0,0,0,1
Antivirus,B2,0,0,0,0,0,0,0
Anual,B2,0,0,0,0,0,0,13
Anular una reserva,A1-A2,0,0,0,0,0,0,0
Anunciar,B2,1,1,4,0,3,8,65
Anuncio,B1,0,5,2,0,0,2,16
Anuncio de trabajo,B1,0,0,0,0,0,0,0
Análisis de orina,B1,0,0,0,0,0,0,0
Análisis de sangre,B1,0,0,0,0,0,0,1
Anécdota,B2,0,0,1,0,0,1,5
Apagar la luz,A1-A2,0,1,0,0,0,0,0
Apagar la sed,B2,0,0,0,0,0,0,0
Aparato digestivo,B2,0,0,0,0,0,0,0
Aparcamiento,A1-A2,2,0,0,0,0,1,1
Aparcar,B1,3,4,3,0,0,1,2
Aparejador,B2,0,0,0,0,0,0,0
Apartamento,B1,1,38,10,0,0,1,2
Apasionado,B2,1,0,0,1,0,0,5
Apenado,B2,0,0,0,0,0,3,0
Aperitivo,B2,0,5,0,0,0,0,2
Apetecible,B2,0,0,0,0,2,0,0
Aplicar una crema,B2,0,0,0,0,0,0,0
Aportar,B2,0,0,0,0,0,0,8
Apostar,B2,0,0,0,0,0,0,9
Aprender,B1,7,3,6,12,17,5,11
Aprender de memoria,B1,1,0,0,0,0,0,0
Apretar el zapato,B2,0,0,0,0,0,0,0
Aprobar,B1,0,0,0,2,0,7,22
Aprobar un examen,A1-A2,0,0,0,0,0,0,0
Aproximarse,B1,0,0,0,0,0,0,2
Apto para todos los públicos,B2,0,0,0,0,0,0,0
Apuntarse a una lista de distribución,B2,0,0,0,0,0,0,0
Arar,B1,0,0,0,0,0,0,0
Araña,A1-A2,0,0,2,0,2,1,1
Archivo,B1,0,0,0,0,0,0,0
Arco iris,A1-A2,0,0,0,0,1,0,0
Arena,B1,1,3,4,2,6,0,5
Argentina,A1-A2,1,7,3,1,0,0,40
Argentino,A1-A2,2,11,4,0,0,1,33
Armario,A1-A2,0,5,10,9,6,7,8
Armario de baño,A1-A2,0,0,0,0,0,0,0
Armarse un lío,B2,0,0,0,0,0,0,0
Armonía,B2,2,0,0,0,1,0,1
Aroma relajante,B2,0,0,0,0,0,0,0
Arquitecto,B1,0,3,1,1,0,0,1
Arquitectura,B2,1,2,0,3,0,0,2
Arreglar,B1,3,2,3,3,4,5,8
Arrendador,B2,0,0,0,0,0,0,0
