,Lexical item,Level,Topic 1,Subtopic 1,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context Tree
0,¿Cómo estás? ,A1-A2,Relaciones sociales,Saludos,"[['¿', 'cómo', 'estar', '?']]",2,35991,5.556944791753494e-05,0.0006117673107062545,"(3, 5, 4.0, 1, 2, 1.5)","{'día', 'buenos'}","[86, 15]",50.5,35991,0.0014031285599177571,0.0024330490944664642,"(3, 14.5, 5.33953488372093, 1, 5.5, 2.7193798449612405)"
1,¿Qué hora es?,A1-A2,Fecha y hora,Hora,"[['¿', 'qué', 'hora', 'ser', '?']]",1,35991,2.778472395876747e-05,0.00021116138775734017,"(5, 5, 5.0, 1, 1, 1.0)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
2,A cobro revertido,B2,Comunicación,Comunicación personal,"[['a', 'cobro', 'revertido']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
3,A fuego lento,B2,Alimentación,Alimentación nutritiva,"[['a', 'fuego', 'lento']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
4,A la derecha,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha']]",8,35991,0.00022227779167013976,0.00024426312574217117,"(4, 8, 6.125, 2, 6, 3.75)","{'alec', 'haber', 'corto', 'piso', 'otro', 'leer', 'de', 'estudiante', 'habitación', 'cuadro', 'él', 'estar', 'calle', 'sentado', 'uno', 'y', 'abajo', 'puerta', 'a', 'primero', 'pasillo', 'el'}","[10, 331, 6, 14, 97, 39, 914, 5, 28, 43, 784, 389, 74, 10, 684, 767, 6, 46, 669, 40, 14, 1407]",289.8636363636364,35991,0.008053781122048189,0.005058663726343761,"(2.409090909090909, 14.818181818181818, 5.753554357991194, 1.4545454545454546, 7.7727272727272725, 3.5012526219687166)"
5,A la derecha,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha']]",8,35991,0.00022227779167013976,0.00024426312574217117,"(4, 8, 6.125, 2, 6, 3.75)","{'alec', 'haber', 'corto', 'piso', 'otro', 'leer', 'de', 'estudiante', 'habitación', 'cuadro', 'él', 'estar', 'calle', 'sentado', 'uno', 'y', 'abajo', 'puerta', 'a', 'primero', 'pasillo', 'el'}","[10, 331, 6, 14, 97, 39, 914, 5, 28, 43, 784, 389, 74, 10, 684, 767, 6, 46, 669, 40, 14, 1407]",289.8636363636364,35991,0.008053781122048189,0.005058663726343761,"(2.409090909090909, 14.818181818181818, 5.753554357991194, 1.4545454545454546, 7.7727272727272725, 3.5012526219687166)"
6,A la derecha de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'derecha', 'de']]",2,35991,5.556944791753494e-05,6.379319894863616e-05,"(7, 8, 7.5, 4, 6, 5.0)","{'puerta', 'alec', 'de', 'estudiante', 'sentado', 'primero', 'piso', 'el'}","[46, 10, 914, 5, 10, 40, 14, 1407]",305.75,35991,0.008495179350393154,0.003871440469586308,"(2.625, 13.25, 5.759455009126054, 1.5, 7.25, 3.653234841522507)"
7,A la derecha de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'derecha', 'de']]",2,35991,5.556944791753494e-05,6.379319894863616e-05,"(7, 8, 7.5, 4, 6, 5.0)","{'puerta', 'alec', 'de', 'estudiante', 'sentado', 'primero', 'piso', 'el'}","[46, 10, 914, 5, 10, 40, 14, 1407]",305.75,35991,0.008495179350393154,0.003871440469586308,"(2.625, 13.25, 5.759455009126054, 1.5, 7.25, 3.653234841522507)"
8,A la izquierda,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda']]",3,35991,8.33541718763024e-05,0.00020466478889735593,"(3, 4, 3.6666666666666665, 2, 4, 3.0)","{'derecha', 'puerta', 'otro', 'poder', 'haber', 'uno', 'y', 'ver'}","[15, 46, 97, 120, 331, 684, 767, 112]",271.5,35991,0.007543552554805368,0.005832420279839849,"(2.25, 16.125, 5.953797629969467, 1.375, 8.125, 3.514007175408493)"
9,A la izquierda,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda']]",3,35991,8.33541718763024e-05,0.00020466478889735593,"(3, 4, 3.6666666666666665, 2, 4, 3.0)","{'derecha', 'puerta', 'otro', 'poder', 'haber', 'uno', 'y', 'ver'}","[15, 46, 97, 120, 331, 684, 767, 112]",271.5,35991,0.007543552554805368,0.005832420279839849,"(2.25, 16.125, 5.953797629969467, 1.375, 8.125, 3.514007175408493)"
10,A la izquierda de,A1-A2,Información y medios de comunicación,Localización,"[['a', 'el', 'izquierda', 'de']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
11,A la izquierda de,A1-A2,Trabajo,En la oficina,"[['a', 'el', 'izquierda', 'de']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
12,A la plancha,A1-A2,Alimentación,En el restaurante,"[['a', 'el', 'plancha']]",1,35991,2.778472395876747e-05,0.00010287803929750024,"(5, 5, 5.0, 4, 4, 4.0)","{'pollo', 'ensalada', 'decir', 'y', 'garcía'}","[6, 2, 266, 767, 11]",210.4,35991,0.005845905920924675,0.0038596412278669215,"(3, 11.8, 5.545194175435031, 1.8, 6.8, 3.4056673032587397)"
13,A pie ,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['a', 'pie']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
14,A tiempo completo,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'completo']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
15,A tiempo parcial,A1-A2,Trabajo,Profesiones,"[['a', 'tiempo', 'parcial']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
16,Abdominales,B1,Salud y cuidados personales,El cuerpo humano y la salud,[['abdominal']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
17,Abeja ,B1,Geografía y naturaleza,En el campo,[['abeja']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
18,Abierto,A1-A2,Individuo y relaciones personales,Carácter,[['abierto']],12,35991,0.0003334166875052096,0.00047452451517862804,"(2, 10, 5.833333333333333, 2, 7, 3.5833333333333335)","{'claro', 'bar', 'sobre', 'haber', 'cama', 'nadie', 'café', 'con', 'de', 'ese', 'por', 'mucho', 'grande', 'estar', 'final', 'calle', 'ventana', 'tomar', 'uno', 'salir', 'mirar', 'y', 'encontrar', 'ejemplo', 'para', 'puerta', 'periódico', 'el'}","[34, 46, 18, 331, 12, 31, 29, 192, 914, 143, 201, 295, 20, 389, 12, 74, 24, 39, 684, 63, 113, 767, 41, 10, 116, 46, 30, 1407]",217.17857142857142,35991,0.006034246656902321,0.004529470293851692,"(2.3214285714285716, 16.214285714285715, 5.921541812174825, 1.2857142857142858, 7.821428571428571, 3.502196322784537)"
19,Abogado,A1-A2,Trabajo,Profesiones,[['abogado']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
20,Abogado criminalista,B2,Justicia,Ley y orden,"[['abogado', 'criminalista']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
21,Abogado defensor,B2,Justicia,Ley y orden,"[['abogado', 'defensor']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
22,Abogado defensor ,B1,Justicia,En el juzgado,"[['abogado', 'defensor']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
23,Abono orgánico,B2,Medioambiente,Problemas medioambientales,"[['abono', 'orgánico']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
24,Abrigo ,A1-A2,Compras y tiendas,Ropa,[['abrigo']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
25,Abril,A1-A2,Fecha y hora,Meses,[['abril']],2,35991,5.556944791753494e-05,4.203301736729102e-05,"(12, 13, 12.5, 3, 6, 4.5)","{'en', 'mes', 'de', '14', 'igual', 'el'}","[539, 12, 914, 2, 7, 1407]",480.1666666666667,35991,0.013341298287534846,0.0063777785564013145,"(2.6666666666666665, 17, 6.5139907502498655, 1.1666666666666667, 8.666666666666666, 3.5063188716289266)"
26,Abrir una cuenta,B1,Medios de comunicación,Internet,"[['abrir', 'uno', 'cuenta']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
27,Abrochar,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,[['abrochar']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
28,Abrocharse,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['abrochar', 'él']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
29,Abrocharse el cinturón,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['abrochar', 'él', 'el', 'cinturón']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
30,Abstracto,B1,Artes,"Arquitectura, escultura, pintura",[['abstracto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
31,Abstracto,B2,Artes,Artes plásticas,[['abstracto']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
32,Abuelo,A1-A2,Individuo y relaciones personales,Familia,[['abuelo']],1,35991,2.778472395876747e-05,6.599589141461552e-05,"(7, 7, 7.0, 2, 2, 2.0)","{'de', 'padre', 'mi'}","[914, 6, 69]",329.6666666666667,35991,0.009159697331740343,0.004960653135026381,"(2.6666666666666665, 14.666666666666666, 5.798264252264823, 1.3333333333333333, 7.333333333333333, 3.51742618843751)"
33,Abundancia,B2,Alimentación,Alimentación nutritiva,[['abundancia']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
34,Abundancia de,B2,Alimentación,Alimentación nutritiva,"[['abundancia', 'de']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
35,Aburrido ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrido']],1,35991,2.778472395876747e-05,4.2606947849192457e-05,"(4, 4, 4.0, 5, 5, 5.0)","{'todo', 'bastante', 'artículo'}","[125, 21, 16]",54.0,35991,0.0015003750937734434,0.002166154103972509,"(2.3333333333333335, 11.333333333333334, 5.415095238095238, 1.6666666666666667, 7, 3.485515873015873)"
36,Aburrimiento ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrimiento']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
37,Aburrirse,B1,Ocio,Tiempo libre y entretenimiento,[['aburrirse']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
38,Aburrirse ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrirse']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
39,Academia,A1-A2,Educación,Objetos y acciones del aula,[['academia']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
40,Acceder,B1,Medios de comunicación,Internet,[['acceder']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
41,Accidente de tráfico,B1,"Viajes, alojamiento y transporte",La conducción,"[['accidente', 'de', 'tráfico']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
42,Acciones,B2,Economía,Economía y finanzas,[['acción']],1,35991,2.778472395876747e-05,5.5389032203950194e-05,"(3, 3, 3.0, 4, 4, 4.0)","{'plan', 'de', 'el'}","[6, 914, 1407]",775.6666666666666,35991,0.021551684217350632,0.00886445681039621,"(2.3333333333333335, 17, 5.3511622879662335, 1.3333333333333333, 8.666666666666666, 3.5741714476487)"
43,Accionista,B2,Economía,Economía y finanzas,[['accionista']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
44,Aceite,A1-A2,Alimentación,Alimentos,[['aceite']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
45,Aceite de oliva,B1,Alimentación,"Alimentación sana / menús, platos, recetas","[['aceite', 'de', 'oliva']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
46,Aceite vegetal,B1,Alimentación,"Alimentación sana / menús, platos, recetas","[['aceite', 'vegetal']]",0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
47,Aceitera,A1-A2,Alimentación,Utensilios de cocina y de mesa,[['aceitera']],0,35991,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,35991,0.0,0.0,"(None, None, None, None, None, None)"
