Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Salir ,A1-A2,Individuo y relaciones personales,Acciones cotidianas,[['salir']],328,336152,0.0009757490658987601,0.0018970282796831404,"(2, 27, 8.585365853658537, 1, 11, 4.698170731707317)","{'señor', 'venir', 'bueno', 'siempre', 'muerto', 'niño', 'cerrar', 'convertido', 'ventana', 'porfirio', '...', 'cobertizo', 'natural', 'piso', 'desaparecer', 'entonces', 'llevar', 'sombrero', 'perfectamente', 'este', 'casi', 'seguido', 'y', 'tirar', 'continuamente', 'comenzar', 'venus', 'campo', 'hora', 'hacer', 'haber', 'tu', 'andrés', 'resolver', 'más', 'coche', 'tumba', 'ahora', 'gran', 'cosa', 'apresuradamente', 'alcoba', 'morir', 'oír', 'tambalear', 'por', 'fuera', 'marfa', 'mano', 'rutina', 'poniente', 'hormiguero', 'llegada', 'moscou', 'artículo', 'desesperado', 'de', 'chismorrear', 'infancia', 'sala', 'precipitadamente', 'pleno', 'mismo', 'desde', 'azotea', 'parecer', 'licenciatura', 'alterar', 'dvornik', 'necesidad', 'patio', 'referir', 'sangre', 'asesino', 'bien', 'pueblo', 'que', 'cruzar', 'mutismo', 'dueño', 'labio', 'alquilar', 'situación', 'frecuentemente', 'cordial', 'café', 'trabajo', 'despavorido', 'calentar', 'observación', 'madrid', 'aun', 'borracho', 'portería', 'prisa', 'palabra', 'verano', 'ordenar', 'bolsillo', 'lecho', 'debajo', 'razumikin', 'preparar', 'persona', 'puerta', 'e', 'dado', 'sofía', 'raskolnikoff', 'ser', 'experimentar', 'excusa', 'disponer', 'don', 'acabar', 'malhumorado', 'frecuencia', 'ciudad', 'fiador', 'dunia', 'viaje', 'encargar', 'enfermo', 'gorra', 'escrúpulo', 'caminar', 'julio', 'repente', 'sombrío', 'calle', 'humo', 'recomendación', 'rodia', 'somnolencia', 'uno', 'ninguno', 'pero', 'alguno', 'guardilla', 'nadie', 'yo', 'apresurado', 'mirar', 'saber', 'o', 'ayer', 'querer', 'camino', 'rodear', 'empezar', 'cual', 'montaner', 'mujer', 'porque', 'tomar', 'cuartito', 'cuando', 'imposible', 'taller', 'garganta', 'noche', 'correr', 'jardín', 'él', 'fin', 'cuanto', 'edificio', 'carta', 'ivanovna', 'pronunciar', 'incitar', 'inquilino', 'gritar', 'decir', 'semenovna', 'anastasia', 'puesto', 'sonar', 'adónde', 'acción', 'cuatro', 'tres', 'galería', 'quizá', 'qué', 'habitación', 'luego', 'ronco', 'abogado', 'dos', 'como', 'casa', 'espectro', 'modestia', 'sonido', 'bielinsky', 'pasear', 'caro', 'decidir', 'tener', 'acto', 'esperanza', 'sol', 'empero', 'zametoff', 'volver', 'aquí', 'presuroso', 'mejor', 'puro', 'gritir', 'gota', 'aventura', 'soler', 'mientras', 'mikolai', 'costa', 'cantar', 'luna', 'reflexión', 'zahurda', 'cabo', 'reservar', 'clase', 'minuto', 'donde', 'temprano', 'rápido', 'cerca', 'junto', 'temor', 'relativo', 'personal', 'nunca', 'mal', 'cocina', 'ver', 'gana', 'mañana', 'sonia', 'buscar', 'chal', 'rublo', 'calma', 'leer', 'universidad', 'llamar', 'deber', 'finalmente', 'a', 'presidio', 'coagulado', 'patrona', 'si', 'seguir', 'recibir', 'seguramente', 'ruido', 'comer', 'día', 'airosamente', 'capa', 'montar', 'juan', 'fijo', 'adentro', 'játiba', 'defensa', 'señora', 'ese', 'dobroliuboff', 'mercado', 'invitar', 'manolo', 'justo', 'madre', 'ambos', 'agregar', 'jesús', 'recibimiento', 'vestíbulo', 'acá', 'tú', 'joven', 'saludar', 'suyo', 'chaqueta', 'tartana', 'momento', 'otro', 'vez', 'seguridad', 'tanto', 'rápidamente', 'zosimoff', 'banda', 'médico', 'aracil', 'despacho', 'criado', 'levantar', 'miedo', 'también', 'nuevamente', 'botica', 'inquieto', 'mi', 'monte', 'fecha', 'adquirir', 'obligado', 'encuentro', 'en', 'obrero', 'medio', 'sin', 'andar', 'grupo', 'poder', 'abierto', 'año', 'bolsa', 'guardia', 'equipaje', 'asombro', 'brazo', 'lavar', 'teatro', 'buenos', 'antes', 'casilla', 'dejar', 'petrovitch', 'hijo', 'detrás', 'correo', 'su', 'mes', 'gente', 'respirar', 'corredor', 'catalina', 'chapotear', 'boca', 'después', 'vena', 'dónde', 'agitado', 'instante', 'inmediatamente', 'con', 'corazón', 'criada', 'objeto', 'para', 'auto', 'medida', 'poco', 'no', 'busca', 'mitrey', 'irritación', 'entrar', 'ir', 'suelo', 'traktir', 'hurtado', 'fortificar', 'naipe', 'allí', 'urgentemente', 'el', 'acerca', 'aprobar', 'aposento', 'chico', 'baño', 'apenas', 'hospital', 'menos', 'aquel', 'paso', 'prontitud', 'iturrioz', 'apresurar', 'svidrigailoff', 'derecha', 'primero', 'acostumbrar', 'cuarto', 'hombre', 'ganar', 'nuevo', 'ya', 'vociferar', 'diez', 'puntilla', 'abrir', 'petrovna', 'cenar', 'mucho', 'taberna', 'tercero', 'todo', 'voz'}","[220, 365, 63, 228, 54, 90, 73, 5, 113, 158, 1129, 4, 49, 75, 30, 212, 273, 36, 44, 1843, 206, 29, 5618, 58, 7, 211, 3, 45, 155, 1470, 3883, 195, 638, 54, 1103, 43, 4, 409, 168, 492, 13, 18, 103, 262, 4, 2372, 56, 37, 299, 3, 4, 2, 31, 3, 32, 27, 8230, 1, 13, 87, 5, 13, 549, 255, 17, 531, 2, 16, 41, 91, 35, 35, 83, 51, 392, 108, 6294, 20, 6, 18, 79, 13, 59, 2, 2, 61, 75, 2, 2, 21, 40, 98, 53, 2, 23, 375, 26, 12, 70, 20, 50, 311, 41, 189, 296, 140, 16, 36, 889, 4367, 79, 10, 32, 114, 236, 4, 14, 40, 1, 211, 28, 18, 109, 22, 8, 41, 74, 139, 46, 220, 4, 7, 97, 1, 4979, 143, 1570, 490, 14, 145, 3092, 7, 448, 748, 491, 110, 663, 72, 25, 87, 145, 36, 380, 411, 399, 5, 611, 56, 28, 9, 179, 110, 27, 8618, 153, 164, 19, 140, 237, 44, 3, 31, 151, 1894, 65, 69, 91, 22, 11, 40, 51, 147, 10, 163, 1400, 166, 146, 8, 4, 465, 1109, 711, 1, 6, 15, 1, 57, 4, 73, 1792, 22, 42, 59, 9, 73, 394, 352, 3, 159, 30, 18, 11, 10, 65, 117, 58, 9, 44, 14, 28, 2, 66, 6, 62, 116, 128, 9, 20, 95, 49, 50, 14, 20, 90, 154, 25, 984, 30, 117, 395, 136, 6, 112, 18, 147, 17, 215, 311, 27, 6316, 15, 2, 72, 829, 387, 71, 32, 54, 96, 437, 1, 14, 8, 40, 38, 7, 1, 11, 135, 1229, 1, 20, 38, 14, 11, 219, 31, 32, 16, 4, 9, 12, 2859, 581, 38, 104, 1, 7, 388, 765, 569, 21, 517, 36, 70, 2, 124, 67, 25, 21, 210, 65, 320, 27, 5, 28, 908, 3, 8, 21, 23, 31, 4763, 38, 239, 893, 101, 51, 1104, 54, 175, 15, 37, 4, 37, 108, 19, 16, 14, 218, 1, 379, 234, 145, 73, 13, 2801, 87, 168, 35, 18, 178, 1, 48, 503, 3, 131, 24, 140, 38, 2536, 91, 44, 133, 1252, 8, 32, 388, 4173, 7, 14, 23, 265, 1053, 72, 6, 144, 4, 1, 196, 2, 9755, 91, 10, 9, 49, 11, 99, 55, 199, 587, 140, 2, 68, 64, 177, 28, 237, 13, 212, 556, 29, 212, 545, 18, 88, 5, 163, 36, 12, 1031, 37, 39, 1412, 263]",358.23703703703706,336152,0.0010656995556683794,0.0010186449761529662,"(3.348148148148148, 20.723456790123457, 8.882077618187326, 2.004938271604938, 15.982716049382717, 5.021072004712342)"
Salir con,B1,Individuo y relaciones personales,Relaciones personales,"[['salir', 'con']]",7,336152,2.082391299174183e-05,4.596805795080527e-05,"(5, 12, 8.428571428571429, 3, 8, 4.714285714285714)","{'trabajo', 'suyo', 'señor', 'modestia', 'frecuencia', 'de', 'él', 'su', 'ese', 'zosimoff', 'palabra', 'ordenar', 'el', 'mucho', 'razumikin', 'a', 'preparar', 'y', 'que', 'hijo', 'no'}","[75, 104, 220, 6, 14, 8230, 8618, 2801, 1229, 70, 375, 12, 9755, 1031, 311, 6316, 41, 5618, 6294, 145, 4173]",2639.904761904762,336152,0.00785330672405567,0.0036814908864022883,"(2.4761904761904763, 25.238095238095237, 8.7243826368947, 1.4285714285714286, 27.61904761904762, 4.836998581614101)"
Salir de fiesta ,B1,Ocio,Tiempo libre y entretenimiento,"[['salir', 'de', 'fiesta']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salir de marcha,B1,Ocio,Tiempo libre y entretenimiento,"[['salir', 'de', 'marcha']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salir de paseo,B1,Ocio,Tiempo libre y entretenimiento,"[['salir', 'de', 'paseo']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salir un artículo gratis,B2,Compras y tiendas,De compras,"[['salir', 'uno', 'artículo', 'gratis']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salirse de la carretera,B2,"Viajes, alojamiento y transportes",Viajes y transportes,"[['salir', 'él', 'de', 'el', 'carretera']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salmón,A1-A2,Alimentación,Alimentos,[['salmón']],0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salmonete,B2,Alimentación,Alimentación nutritiva,[['salmonete']],0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
Salón comedor,A1-A2,Vivienda,Casa,"[['salón', 'comedor']]",0,336152,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,336152,0.0,0.0,"(None, None, None, None, None, None)"
