litera_3,litera_1,litera_2
"('media', 0.08052513328768632)","('lugar', 0.0639470733460284)","('miré', 0.07210047536767218)"
"('cuyo', 0.08013644299978158)","('gato', 0.06394271736947106)","('alguno', 0.07180287236243277)"
"('cielo', 0.07991096927145556)","('reina', 0.06378308845875401)","('hacia', 0.07171674429867571)"
"('ángela', 0.07840318407021495)","('mayor', 0.06366320553745225)","('verdaderamente', 0.07049788698257016)"
"('banco', 0.07822067564155746)","('saltar', 0.06364993532975034)","('entonces', 0.06935678084964118)"
"('asilo', 0.07807652131369672)","('aparecer', 0.0634435739659476)","('exclamé', 0.06870185289747843)"
"('habitación', 0.07692145164024133)","('reino', 0.06328982672869005)","('tocar', 0.0684441127708155)"
"('primero', 0.07686722281891313)","('chocolate', 0.06315858961601106)","('romano', 0.06828950711058716)"
"('luego', 0.07643759092303982)","('comida', 0.06265081085698578)","('pintura', 0.06634597532943147)"
"('muerte', 0.07632024988803209)","('carroza', 0.06264148887574586)","('navaja', 0.06630156627359701)"
"('medio', 0.07519600903369776)","('hojalata', 0.06242442718534474)","('frío', 0.06518684304755756)"
"('funcionario', 0.07496043354302322)","('pan', 0.06237504016170498)","('líquido', 0.06470138707469353)"
"('necesario', 0.0745334554115699)","('planeta', 0.06233129181511908)","('mirar', 0.06442354277275562)"
"('posible', 0.07320754439894987)","('decidir', 0.060947641941829916)","('fuego', 0.06435119925397928)"
"('caso', 0.07296530486687644)","('barriga', 0.06052301880473325)","('reír', 0.06409091704731588)"
"('detener', 0.07281073343517232)","('hogar', 0.060512121555399735)","('eh', 0.06339389147182359)"
"('allá', 0.07237927065117025)","('hermano', 0.05901481802923694)","('responder', 0.06338000572774785)"
"('puerta', 0.07198306480937)","('malvado', 0.058569759598938884)","('blanco', 0.06277836116533875)"
"('plaza', 0.0712578407490578)","('allí', 0.05831770616379343)","('peludo', 0.06259472139290377)"
"('descarga', 0.07072494124263248)","('mediano', 0.05816213356929774)","('alcalde', 0.06242863592873627)"
"('sargento', 0.07072494124263248)","('perdido', 0.05792060860247)","('pirotécnico', 0.06144158079584125)"
"('doña', 0.07068812425024576)","('divertido', 0.05767032029345149)","('siempre', 0.06065237320171359)"
"('costumbre', 0.07060322617543376)","('trineo', 0.05750997422967491)","('finalmente', 0.06008680906839099)"
"('féretro', 0.06952755949624848)","('virus', 0.057194069220460185)","('hablar', 0.059816783974659976)"
"('ahora', 0.06951543163644334)","('saco', 0.05708378170151779)","('plata', 0.05959518850896416)"
"('tranvía', 0.06940135227884153)","('nadar', 0.05649202975796421)","('tabla', 0.059416185500346295)"
"('profesor', 0.06927459932852839)","('preciosa', 0.056337236257815455)","('ir', 0.059410186813329484)"
"('creer', 0.06917903244586145)","('doncella', 0.056085610924282346)","('informe', 0.05928371276110133)"
"('palabra', 0.06835919924827769)","('camino', 0.05554887829309453)","('guitarra', 0.058453053863901795)"
"('velar', 0.06643778667182408)","('habichuela', 0.05544988005883212)","('labio', 0.057923799347128956)"
"('delante', 0.06635890094632124)","('casa', 0.05537154135232962)","('pensar', 0.05752786057102106)"
"('seguir', 0.066190270884744)","('asustado', 0.055224325822116185)","('orgulloso', 0.057354048581371296)"
"('quizá', 0.06601363833212034)","('subir', 0.05489361561765536)","('lecho', 0.057171281049127845)"
"('hacer', 0.06600655095970523)","('plomo', 0.054596670403740416)","('concejal', 0.05712042145069327)"
"('semejante', 0.06596389488824632)","('ola', 0.054536916097888855)","('espada', 0.05712042145069327)"
"('deber', 0.06555138940402837)","('conseguir', 0.05414648976287697)","('hierro', 0.05642661630182404)"
