Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Seguridad,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,[['seguridad']],6,153184,3.9168581575099224e-05,0.00020596043895133555,"(5, 16, 8.333333333333334, 2, 7, 4.666666666666667)","{'todo', 'alguno', 'de', 'perra', 'saber', 'nadie', 'que', 'en', 'necesitar', 'apreciar', 'previsión', 'con', 'pero', 'el', 'callejón', 'dos', 'día'}","[573, 158, 3833, 11, 315, 97, 2758, 1995, 44, 4, 1, 1243, 799, 5846, 2, 206, 131]",1059.764705882353,153184,0.00691824672212733,0.0035773733489071332,"(3.5294117647058822, 21.941176470588236, 8.215603967957696, 1.8823529411764706, 14.058823529411764, 4.576704862534172)"
Seguridad,B2,Justicia,Ley y orden,[['seguridad']],6,153184,3.9168581575099224e-05,0.00020596043895133555,"(5, 16, 8.333333333333334, 2, 7, 4.666666666666667)","{'todo', 'alguno', 'de', 'perra', 'saber', 'nadie', 'que', 'en', 'necesitar', 'apreciar', 'previsión', 'con', 'pero', 'el', 'callejón', 'dos', 'día'}","[573, 158, 3833, 11, 315, 97, 2758, 1995, 44, 4, 1, 1243, 799, 5846, 2, 206, 131]",1059.764705882353,153184,0.00691824672212733,0.0035773733489071332,"(3.5294117647058822, 21.941176470588236, 8.215603967957696, 1.8823529411764706, 14.058823529411764, 4.576704862534172)"
Seguridad ,B1,"Viajes, alojamiento y transporte",La conducción,[['seguridad']],6,153184,3.9168581575099224e-05,0.00020596043895133555,"(5, 16, 8.333333333333334, 2, 7, 4.666666666666667)","{'todo', 'alguno', 'de', 'perra', 'saber', 'nadie', 'que', 'en', 'necesitar', 'apreciar', 'previsión', 'con', 'pero', 'el', 'callejón', 'dos', 'día'}","[573, 158, 3833, 11, 315, 97, 2758, 1995, 44, 4, 1, 1243, 799, 5846, 2, 206, 131]",1059.764705882353,153184,0.00691824672212733,0.0035773733489071332,"(3.5294117647058822, 21.941176470588236, 8.215603967957696, 1.8823529411764706, 14.058823529411764, 4.576704862534172)"
Seguro,B1,Individuo y relaciones personales,Cáracter y personalidad,[['seguro']],51,153184,0.00033293294338834344,0.0006378076530681517,"(2, 24, 7.9411764705882355, 2, 7, 3.843137254901961)","{'actitud', 'hasta', 'estar', 'pero', 'dormir', 'sí', 'pensativo', 'orientar', 'para', 'muñeco', 'verdad', 'quedar', 'pasar', 'completamente', 'y', 'todo', 'tragar', 'papá', 'deber', 'carretilla', 'sacar', 'miró', 'cuando', '...', 'impropio', 'magistralmente', 'creer', 'lindy', 'él', 'nunca', 'refunfuñé', 'más', 'mitad', 'seguro', 'ser', 'tener', 'tampoco', 'mañana', 'apretón', 'ganar', 'sara', 'sitio', 'haber', 'totalmente', 'tiempo', 'tú', 'mano', 'nadie', 'en', 'lleno', 'yo', 'uno', 'mi', 'lily', 'mucho', 'menos', 'ese', 'manhattan', 'bello', 'perder', 'o', 'programa', 'el', 'también', 'de', 'darmelar', 'sentir', 'que', 'dejar', 'desafiante', 'poder', 'acceder', 'aunque', 'no', 'hermana', 'diríase', 'día'}","[4, 148, 1043, 799, 53, 177, 15, 1, 624, 289, 142, 207, 254, 21, 2875, 573, 15, 96, 75, 19, 97, 16, 334, 157, 2, 1, 189, 317, 4243, 127, 1, 495, 18, 51, 1766, 845, 31, 67, 1, 30, 393, 39, 1433, 18, 106, 690, 356, 97, 1995, 36, 2100, 2469, 634, 164, 633, 71, 357, 56, 20, 51, 174, 8, 5846, 130, 3833, 1, 162, 2758, 199, 1, 425, 2, 89, 1716, 103, 1, 131]",565.1298701298701,153184,0.0036892225697845085,0.0026125823403236304,"(3.103896103896104, 20.350649350649352, 7.673276581609116, 1.6493506493506493, 11.792207792207792, 4.205056334883408)"
Seguro a terceros,B2,"Viajes, alojamiento y transportes",Viajes y transportes,"[['seguro', 'a', 'tercero']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Seguro a todo riesgo ,B1,"Viajes, alojamiento y transporte",La conducción,"[['seguro', 'a', 'todo', 'riesgo']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Seguro de vida,B1,Economía,Economía,"[['seguro', 'de', 'vida']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Seguro obligatorio,B1,"Viajes, alojamiento y transporte",La conducción,"[['seguro', 'obligatorio']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Seguro obligatorio,B2,"Viajes, alojamiento y transportes",Viajes y transportes,"[['seguro', 'obligatorio']]",0,153184,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,153184,0.0,0.0,"(None, None, None, None, None, None)"
Seis,A1-A2,Información y medios de comunicación,Números ordinales y cardinales,[['seis']],14,153184,9.139335700856487e-05,0.00039722401697227705,"(2, 18, 6.785714285714286, 2, 9, 4.214285714285714)","{'año', 'tirado', 'después', 'hasta', 'él', 'antes', 'slappy', 'niño', 'cabo', 'perro', 'para', 'grande', 'más', 'hija', 'presentación', 'querer', 'vaca', 'tener', 'semana', 'o', 'su', 'el', 'molino', 'otro', 'parecer', 'y', 'de', 'reno', 'haber', 'miss', 'correr', 'cinco', 'fiesta', 'trineo', 'trabajo', 'por', 'vez', 'que', 'lechero', 'manzana', 'ayudante', 'no', 'en', 'con', 'soberbio', 'a'}","[69, 7, 112, 148, 4243, 90, 238, 122, 26, 71, 624, 58, 495, 57, 3, 284, 1, 845, 30, 174, 1060, 5846, 4, 308, 240, 2875, 3833, 1, 1433, 101, 133, 19, 34, 3, 31, 1016, 275, 2758, 1, 10, 3, 1716, 1995, 1243, 4, 3047]",775.7826086956521,153184,0.005064384065539823,0.002957939976259405,"(3.3260869565217392, 20.130434782608695, 7.8908401245383875, 1.934782608695652, 13.108695652173912, 4.753477239519625)"
