Lexical item,Level,Topic,Subtopic,Lemma,Count,Total,Frequency,TFIDF,Tree,Context words,Context count per word,Context count,Context total,Context frequency,Context TFIDF,Context tree
Abrigo ,A1-A2,Compras y tiendas,Ropa,[['abrigo']],6,33354,0.00017988846914912754,0.00015613475848837104,"(5, 15, 11.0, 2, 7, 4.833333333333333)","{'él', 'bolsa', 'poner', 'el', 'sencillo', 'a', 'su', 'nuevo', 'lana', 'uno', 'vender', 'salir', 'papá', 'y', 'comprar', 'elegante', 'haber', 'para', 'libro', 'de'}","[914, 4, 37, 1201, 2, 745, 349, 51, 7, 599, 10, 59, 11, 790, 14, 6, 249, 203, 11, 817]",303.95,33354,0.009112850032979554,0.004105035985578195,"(3.3, 16.5, 7.819804774789174, 1.7, 9.45, 4.501920731432802)"
Abril,A1-A2,Fecha y hora,Meses,[['abril']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abrir una cuenta,B1,Medios de comunicación,Internet,"[['abrir', 'uno', 'cuenta']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abrochar,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,[['abrochar']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['abrochar', 'él']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abrocharse el cinturón,A1-A2,"Viajes, transportes y alojamiento",Medios de transporte,"[['abrochar', 'él', 'el', 'cinturón']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abstracto,B1,Artes,"Arquitectura, escultura, pintura",[['abstracto']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abstracto,B2,Artes,Artes plásticas,[['abstracto']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abuelo,A1-A2,Individuo y relaciones personales,Familia,[['abuelo']],2,33354,5.996282304970918e-05,0.00011487981828057952,"(5, 14, 9.5, 4, 4, 4.0)","{'él', 'a', 'pedir', 'y', 'llamar', 'ser', 'el', 'abuela', 'especial'}","[914, 745, 16, 790, 32, 421, 1201, 8, 5]",459.1111111111111,33354,0.013764799157855464,0.005429831912349809,"(3.3333333333333335, 17.333333333333332, 7.615917677578958, 1.5555555555555556, 10.11111111111111, 4.414690831958992)"
Abundancia,B2,Alimentación,Alimentación nutritiva,[['abundancia']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Abundancia de,B2,Alimentación,Alimentación nutritiva,"[['abundancia', 'de']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aburrido ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrido']],1,33354,2.998141152485459e-05,5.756130317685531e-05,"(8, 8, 8.0, 3, 3, 3.0)","{'ser', 'isla', 'mucho'}","[421, 7, 147]",191.66666666666666,33354,0.005746437208930463,0.005365009324244404,"(3.3333333333333335, 14, 7.050640683826975, 1.6666666666666667, 9.666666666666666, 4.088763929958365)"
Aburrimiento ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrimiento']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aburrirse,B1,Ocio,Tiempo libre y entretenimiento,[['aburrirse']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Aburrirse ,B1,Individuo y relaciones personales,Sentimientos y estados de ánimo,[['aburrirse']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Academia,A1-A2,Educación,Objetos y acciones del aula,[['academia']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acceder,B1,Medios de comunicación,Internet,[['acceder']],1,33354,2.998141152485459e-05,9.649827831450211e-05,"(4, 4, 4.0, 3, 3, 3.0)","{'cuando', 'él', 'a'}","[98, 914, 745]",585.6666666666666,33354,0.017559113349723172,0.007274277662952891,"(2.3333333333333335, 20, 7.697628543435643, 1.3333333333333333, 11, 4.3994799329568375)"
Accidente de tráfico,B1,"Viajes, alojamiento y transporte",La conducción,"[['accidente', 'de', 'tráfico']]",0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Acciones,B2,Economía,Economía y finanzas,[['acción']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
Accionista,B2,Economía,Economía y finanzas,[['accionista']],0,33354,0.0,0.0,"(None, None, None, None, None, None)",set(),[],0.0,33354,0.0,0.0,"(None, None, None, None, None, None)"
