Lexical item,Level,Count,Total,Frequency,TFIDF,Tree,Context count,Context total,Context frequency,Context TFIDF,Context tree
Tiburón,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tiempo atmosférico,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tiempo libre,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tiempo parcial,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tienda de campaña,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tierra,A1-A2,24,73606,0.0003260603755128658,0.0006857958829421136,"(4, 25, 11.583333333333334, 2, 17, 6.916666666666667)",301.6825396825397,73606,0.0040986134239401634,0.0023107414688204567,"(3.4761904761904763, 25.49206349206349, 9.82253109772437, 2.1587301587301586, 13.841269841269842, 5.8727677208200015)"
Tigre,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tijeras,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tipo de interés,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tirar de la cadena,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tirar el dado,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tirarse en trineo,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tirita,B1,1,73606,1.3585848979702741e-05,2.2166903049475097e-05,"(12, 12, 12.0, 5, 5, 5.0)",751.4,73606,0.01020840692334864,0.004345528205224693,"(6, 26.2, 10.645102192669885, 2.6, 12.4, 5.314205050854499)"
Tiro con arco,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tirón muscular,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Titular,B2,1,73606,1.3585848979702741e-05,1.273323552816894e-05,"(7, 7, 7.0, 8, 8, 8.0)",320.3333333333333,73606,0.004352000289831444,0.003315751987965395,"(2.6666666666666665, 23.333333333333332, 7.606032431414969, 1.3333333333333333, 12.666666666666666, 4.728992879307911)"
Tiza,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Toalla,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Toalla de baño,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Toalla de lavabo,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tobillera,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tobillo,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tobogán,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tocar,A1-A2,15,73606,0.00020378773469554112,0.0003352129054652835,"(3, 18, 8.733333333333333, 3, 10, 5.533333333333333)",327.6875,73606,0.004451912887536342,0.0022639352649800482,"(3.9791666666666665, 22.25, 9.42509270586353, 2.3333333333333335, 12.229166666666666, 5.59136223481243)"
Tocar la lotería,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tocar un instrumento,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tolerante,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomar,B1,57,73606,0.0007743933918430562,0.0007492417342955822,"(4, 21, 10.157894736842104, 2, 13, 5.631578947368421)",197.1851851851852,73606,0.0026789281469606443,0.0018591853503516027,"(3.9185185185185185, 24.266666666666666, 10.04232679823004, 2.1777777777777776, 13.22962962962963, 5.728669850850217)"
Tomar algo,A1-A2,3,73606,4.0757546939108224e-05,0.00014472315980904962,"(4, 8, 6.333333333333333, 2, 6, 4.0)",392.5,73606,0.005332445724533326,0.003132038040911646,"(2.3333333333333335, 27, 9.042618444162619, 1.5, 14, 5.197413588331194)"
Tomar el sol,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomar fotos,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomar la temperatura,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomar la tensión,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomar nota,A1-A2,1,73606,1.3585848979702741e-05,7.019519299000449e-05,"(5, 5, 5.0, 4, 4, 4.0)",986.2,73606,0.013398364263782844,0.005418970474963584,"(2.2, 29.4, 8.865738395324584, 1.4, 16, 5.492299759096016)"
Tomate,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomillo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tomografía,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Torcerse el tobillo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tormenta,A1-A2,2,73606,2.7171697959405482e-05,0.00027267626420069595,"(5, 9, 7.0, 3, 5, 4.0)",244.42857142857142,73606,0.003320769657753056,0.002556450587384344,"(4.571428571428571, 23.571428571428573, 9.597656492982997, 2.5714285714285716, 12.428571428571429, 5.551214059082291)"
Torneo,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Toro,B1,1,73606,1.3585848979702741e-05,1.3116832997105089e-05,"(8, 8, 8.0, 5, 5, 5.0)",724.0,73606,0.009836154661304785,0.002940040129527174,"(3.6666666666666665, 26.666666666666668, 9.872490098553929, 1.6666666666666667, 16.333333333333332, 6.162215187423328)"
Tortilla,A1-A2,1,73606,1.3585848979702741e-05,6.236001699141218e-05,"(12, 12, 12.0, 4, 4, 4.0)",594.6666666666666,73606,0.008079051526596564,0.004567096148639325,"(4, 27.166666666666668, 9.934069019689368, 1.6666666666666667, 13.833333333333334, 5.380628832351699)"
Tortuga,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Tos,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trabajador,B1,1,73606,1.3585848979702741e-05,0.00036520296774359963,"(5, 5, 5.0, 2, 2, 2.0)",582.5,73606,0.007913757030676847,0.004169286384469136,"(3.5, 19.5, 7.1908842436231035, 1.5, 9.5, 3.6813210970731918)"
Trabajador por cuenta ajena,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trabajar,A1-A2,23,73606,0.0003124745265331631,0.0011786137998717225,"(3, 13, 7.521739130434782, 1, 12, 4.695652173913044)",306.22033898305085,73606,0.004160263279937109,0.002648044809786134,"(3.23728813559322, 23.847457627118644, 9.056246080198443, 1.8983050847457628, 13.11864406779661, 5.384696148908107)"
Trabajar de becario,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trabajar en grupo,A1-A2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trabajo,A1-A2,33,73606,0.0004483330163301905,0.0010398762601361341,"(3, 19, 8.757575757575758, 1, 11, 5.212121212121212)",249.23170731707316,73606,0.003386024336563231,0.0022410332543898676,"(3.7195121951219514, 21.9390243902439, 9.286057448093642, 2.3780487804878048, 13.182926829268293, 5.713179040131311)"
Trabajo a tiempo parcial,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Trabajo remunerado,B2,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
Traducción,B1,0,73606,0.0,0.0,"(None, None, None, None, None, None)",0.0,73606,0.0,0.0,"(None, None, None, None, None, None)"
