Lexical item;Level
aliviado;B2
alivio;B2
alma;B2
almacén;B2
almacenar;B2
almeja;B2
almendra;B2
almohada;A2
alojamiento;A2
alojarse;B1
alojarse en un apartamento;B2
alojarse en un bungaló;B2
alojarse en un hotel;B2
alojarse en una cabaña;B2
alpinismo;B2
alquilar;B1
alquilar un apartamento;B2
alquilar un bungaló;B2
alquilar un piso;A1
alquilar una cabaña;B2
alquilar una película;B1
alquiler;B1
alrededores;B2
altavoz;B2
alternar;B2
alternativo;B2
altitud;B2
alto;B1
altura;B1
alubia;B1
aluminio;B2
alumnado;B2
alumno;A1
alumno brillante;B2
alumno conflictivo;B2
alumno de la escuela;A2
alumno del instituto;A2
alumno estudioso;B2
alzar;B1
américa;A1
ama de casa;A1
amabilidad;B1
amable;A2
amar;B2
amargo;B1
amarillo;A1
ambición;B2
ambicioso;B2
ambiente;B1
ambiente íntimo;B2
ambiente acogedor;B2
ambiente cálido;B2
ambiente clásico;B1
ambiente fresco;B2
ambiente moderno;B1
ambulancia;A2
ambulatorio;B2
amigo;A1
amigo íntimo;B2
amigo de la infancia;B1
amigo de la universidad;B1
amigo de toda la vida;B2
amistad;B1
amoldarse;B2
amor;B1
amor propio;B2
ampliación;B2
ampliar;B1
ampliar un contrato;B2
amueblado;A2
amueblar;B1
amueblar una habitación;B2
análisis;B1
análisis de orina;B1
análisis de sangre;B1
anécdota;B2
analgésico;B2
analizar;B2
analizar un tema;B2
analizar un texto;B2
anarquía;B2
ancho;B2
anchura;B1
anciano;B1
andén;B1
andar;A2
anestesia;B2
anestesiar;B2
anestesista;B2
angustia;B2
angustiarse;B2
anillo;A1
anillo de oro;B1
anillo de plata;B1
animal;A1
animal acuático;B1
animal de compañía;B1
animal doméstico;B1
animal marino;B2
animal salvaje;B1
animal terrestre;B2
animal volador;B2
animar;B2
aniversario;B1
aniversario de boda;B1
anorak;B2
ansiedad;B2
antecedente;B2
antibiótico;B1
anticiclón;B2
anticipar;B2
anticipo;B2
anticuado;B1
antiguo amigo;B2
antiguo testamento;B2
antiinflamatorio;B2
antipático;A1
antivirus;B1
anual;B2
anular;B1
anular un billete;B1
anular una reserva;B1
anunciar;B2
anunciar un vuelo;B2
anuncio;A2
anuncio de trabajo;B1
apagar;A2
apagar la luz;A2
apagar la sed;B2
apagar un electrodoméstico;B1
apagarse;B2
apagarse una estrella;B2
aparato;B1
aparato digestivo;B2
aparcamiento;A1
aparcar;B1
aparcar en zona azul;B2
aparcar en zona prohibida;B2
aparcar en zona verde;B2
aparejador;B2
apartado de correos;B1
apartamento;A1
apasionado;B2
apellidarse;A2
apellido;A1
apenado;B2
aperitivo;A2
apetecible;B2
apetito;B2
aplaudir;B2
aplazar;B1
aplicar;A2
aplicar una crema;B2
aplicar una fórmula;B2
aportar;B2
apostar;B2
apoyar;B2
apreciar;B2
aprecio;B2
aprender;A1
aprender de memoria;B1
aprender una fórmula;A2
aprender una regla;A2
aprendizaje;B2
apretado;B2
apretar;A2
apretar el botón;B2
apretar el zapato;B2
apretar la cintura;B2
aprobar;A2
aprobar el curso;B1
aprobar un control;B1
aprobar un examen;A2
aprobar un examen oral;B1
aprobar un test escrito;B1
aprobar una ley;B2
aprovechar;B1
aprovechar los recursos naturales;B2
aproximarse;B1
apto;A2
apto para todos los públicos;B2
apuesta;B2
apuntar;B2
apuntarse;B2
apuntarse a una lista de distribución;B2
apuntarse en una lista de distribución;B2
apuntes;B1
araña;A2
arañar;B2
arar;B1
arbusto;B2
archivar;B1
archivar documentos;B1
archivo;B1
arcoíris;A2
arena;B1
argentino;A1
argumento;B2
arma;A2
armario;A1
armario de baño;A1
armarse un lío;B2
armonía;B2
aroma;A2
aroma relajante;B2
arquitecto;A2
arquitectura;B1
arrancar;B2
arrastrar;B2
arreglar;B1
arreglar el coche;B1
arreglar la casa;B2
arreglar un aparato eléctrico;B2
arreglar un enchufe;B2
arreglar un interruptor;B2
arreglar un pinchazo;B2
arreglo;B2
arrendador;B2
arrendatario;B2
arroba;A1
arrogancia;B2
arrogante;B1
