Title;Level;Publisher;Text file;Type
Cruzado de Silvana Casali a Facundo;Avanzado;Open Libra;data/readers/cruzado.txt;Short story
Print;Avanzado;Open Libra;data/readers/print.txt;Short story
Autorretrato;Avanzado;Open Libra;data/readers/autorretrato.txt;Short story
El hombre que plantaba árboles;Intermedio;Open Libra;data/readers/el_hombre_que_plantaba_arboles.txt;Short story
Descubren agua en Marte;Intermedio;Open Libra;data/readers/descubren_agua_en_marte.txt;Short story
Autobiografía de Florencia Di Paolo;Intermedio;Open Libra;data/readers/florencia_di_paolo.txt;Short story
Coronavirus no es un príncipe ni una princesa;Inicial;Open Libra;data/readers/coronavirus_no_es_un_principe_ni_una_princesa_by_maria_coco.txt;Short story
Leotolda;Inicial;Open Libra;data/readers/leotolda_by_olga_de_dios.txt;Short story
Rana de tres ojos;Inicial;Open Libra;data/readers/rana_de_tres_ojos_by_olga_de_dios.txt;Short story
